x,y,z
5.769497637013256686e-01,1.366773876779035224e-01,5.000000000000000000e-01
5.767605839083291830e-01,1.372945949826534784e-01,5.000000000000000000e-01
5.765694301683002010e-01,1.379172319882138176e-01,5.000000000000000000e-01
5.763763033268137770e-01,1.385451440195931416e-01,5.000000000000000000e-01
5.761815268561863990e-01,1.391776235709618892e-01,5.000000000000000000e-01
5.759848442337475172e-01,1.398148761936164608e-01,5.000000000000000000e-01
5.757857866863578256e-01,1.404575561422934382e-01,5.000000000000000000e-01
5.755846694327979574e-01,1.411051400571731174e-01,5.000000000000000000e-01
5.753815002646140986e-01,1.417575174364837098e-01,5.000000000000000000e-01
5.751763517104934165e-01,1.424144607885163005e-01,5.000000000000000000e-01
5.749694904923319250e-01,1.430754006133383438e-01,5.000000000000000000e-01
5.747607651017396790e-01,1.437403990903899087e-01,5.000000000000000000e-01
5.745499955815613902e-01,1.444096327438897098e-01,5.000000000000000000e-01
5.743374199103841171e-01,1.450826406766759780e-01,5.000000000000000000e-01
5.741233397059981591e-01,1.457587850959690956e-01,5.000000000000000000e-01
5.739078275682345520e-01,1.464377292285044263e-01,5.000000000000000000e-01
5.736908515619618676e-01,1.471193195197121606e-01,5.000000000000000000e-01
5.734727029450201741e-01,1.478028964393794109e-01,5.000000000000000000e-01
5.732535771461926277e-01,1.484879034101430073e-01,5.000000000000000000e-01
5.730333400256437670e-01,1.491743002047933309e-01,5.000000000000000000e-01
5.728119467227408279e-01,1.498619930691487134e-01,5.000000000000000000e-01
5.725893891836864036e-01,1.505508681309576935e-01,5.000000000000000000e-01
5.723658660116290875e-01,1.512405001756638168e-01,5.000000000000000000e-01
5.721415192748076084e-01,1.519305123710823491e-01,5.000000000000000000e-01
5.719164902572237974e-01,1.526205133460432073e-01,5.000000000000000000e-01
5.716908773114282027e-01,1.533101705366344547e-01,5.000000000000000000e-01
5.714647784491126981e-01,1.539991575201077600e-01,5.000000000000000000e-01
5.712384550862026344e-01,1.546868829509939480e-01,5.000000000000000000e-01
5.710119317539816830e-01,1.553731044445746667e-01,5.000000000000000000e-01
5.707851056695953940e-01,1.560578228947822887e-01,5.000000000000000000e-01
5.705580725556715915e-01,1.567407970860933974e-01,5.000000000000000000e-01
5.703309047262339337e-01,1.574218184410393906e-01,5.000000000000000000e-01
5.701036938432462176e-01,1.581006560875547473e-01,5.000000000000000000e-01
5.698765056707264520e-01,1.587771185148771358e-01,5.000000000000000000e-01
5.696494007338550603e-01,1.594510343860733592e-01,5.000000000000000000e-01
5.694224428390655124e-01,1.601222338008321533e-01,5.000000000000000000e-01
5.691957770395551508e-01,1.607904222846359699e-01,5.000000000000000000e-01
5.689694913438720913e-01,1.614553761668509335e-01,5.000000000000000000e-01
5.687436554128206811e-01,1.621169045456403723e-01,5.000000000000000000e-01
5.685183358082309679e-01,1.627748309886812850e-01,5.000000000000000000e-01
5.682936058488735620e-01,1.634289767427080375e-01,5.000000000000000000e-01
5.680694716097245411e-01,1.640792803334842065e-01,5.000000000000000000e-01
5.678459567247879924e-01,1.647256776332606809e-01,5.000000000000000000e-01
5.676230048222525859e-01,1.653682577254653174e-01,5.000000000000000000e-01
5.674006395602484432e-01,1.660070123286704058e-01,5.000000000000000000e-01
5.671790663305572577e-01,1.666416401556498339e-01,5.000000000000000000e-01
5.669583519202270327e-01,1.672720013889953394e-01,5.000000000000000000e-01
5.667385526703623277e-01,1.678979746419986263e-01,5.000000000000000000e-01
5.665197170343563293e-01,1.685194565060741945e-01,5.000000000000000000e-01
5.663018909360573172e-01,1.691363544843611788e-01,5.000000000000000000e-01
5.660851124567237713e-01,1.697485956182593902e-01,5.000000000000000000e-01
5.658694163251816178e-01,1.703561199916577840e-01,5.000000000000000000e-01
5.656547887237892702e-01,1.709589580163665967e-01,5.000000000000000000e-01
5.654411075733325465e-01,1.715573487872993075e-01,5.000000000000000000e-01
5.652282852975495375e-01,1.721515321544271893e-01,5.000000000000000000e-01
5.650163723796657322e-01,1.727415422056592376e-01,5.000000000000000000e-01
5.648054646569544701e-01,1.733272991844660715e-01,5.000000000000000000e-01
5.645956278243078330e-01,1.739087294724217525e-01,5.000000000000000000e-01
5.643868316265180374e-01,1.744859066647174717e-01,5.000000000000000000e-01
5.641791946901509869e-01,1.750586612891282257e-01,5.000000000000000000e-01
5.639727713015902921e-01,1.756269020564477368e-01,5.000000000000000000e-01
5.637673539704092240e-01,1.761909920875595337e-01,5.000000000000000000e-01
5.635629455375554819e-01,1.767510260743214989e-01,5.000000000000000000e-01
5.633596411247818736e-01,1.773069180320242799e-01,5.000000000000000000e-01
5.631574636271979850e-01,1.778586581329703598e-01,5.000000000000000000e-01
5.629564036637146884e-01,1.784062925973864122e-01,5.000000000000000000e-01
5.627563642104029817e-01,1.789500443079234115e-01,5.000000000000000000e-01
5.625573253256589412e-01,1.794900320073193334e-01,5.000000000000000000e-01
5.623593351583879851e-01,1.800262435110679959e-01,5.000000000000000000e-01
5.621623224000624752e-01,1.805588607395634537e-01,5.000000000000000000e-01
5.619662340434087300e-01,1.810880598240063588e-01,5.000000000000000000e-01
5.617710895579937080e-01,1.816138826477316504e-01,5.000000000000000000e-01
5.615769957190568373e-01,1.821361599975282741e-01,5.000000000000000000e-01
5.613839799594109170e-01,1.826548371139307403e-01,5.000000000000000000e-01
5.611919885041115608e-01,1.831700270980025358e-01,5.000000000000000000e-01
5.610010021709137540e-01,1.836818158017109182e-01,5.000000000000000000e-01
5.608109380607140260e-01,1.841904331397638539e-01,5.000000000000000000e-01
5.606217752963257306e-01,1.846959942571091695e-01,5.000000000000000000e-01
5.604335432299898390e-01,1.851984864868988223e-01,5.000000000000000000e-01
5.602462473659612918e-01,1.856979240194184255e-01,5.000000000000000000e-01
5.600598829434069170e-01,1.861943455573009665e-01,5.000000000000000000e-01
5.598744457979452083e-01,1.866877889778697230e-01,5.000000000000000000e-01
5.596899877768590770e-01,1.871781382712066344e-01,5.000000000000000000e-01
5.595065573666139214e-01,1.876652819898235180e-01,5.000000000000000000e-01
5.593241146309180234e-01,1.881493672576813325e-01,5.000000000000000000e-01
5.591425731749997130e-01,1.886306874802068101e-01,5.000000000000000000e-01
5.589618713428952113e-01,1.891094385583136361e-01,5.000000000000000000e-01
5.587819931954542962e-01,1.895856617227443530e-01,5.000000000000000000e-01
5.586029234044358471e-01,1.900594422302331332e-01,5.000000000000000000e-01
5.584246362881122305e-01,1.905308792412719887e-01,5.000000000000000000e-01
5.582471222104681274e-01,1.909999824878027552e-01,5.000000000000000000e-01
5.580703876669044217e-01,1.914667588699611178e-01,5.000000000000000000e-01
5.578944361710762578e-01,1.919312227995895181e-01,5.000000000000000000e-01
5.577192712036281863e-01,1.923933695065076777e-01,5.000000000000000000e-01
5.575449034829460526e-01,1.928531820477022152e-01,5.000000000000000000e-01
5.573713467418717205e-01,1.933106435670508549e-01,5.000000000000000000e-01
5.571986151942940335e-01,1.937657608491296646e-01,5.000000000000000000e-01
5.570267148564637116e-01,1.942185848430088291e-01,5.000000000000000000e-01
5.568556280111953694e-01,1.946691737546401013e-01,5.000000000000000000e-01
5.566853375505684820e-01,1.951175587418982060e-01,5.000000000000000000e-01
5.565158465873026872e-01,1.955637614527873935e-01,5.000000000000000000e-01
5.563471563227035954e-01,1.960078142558910330e-01,5.000000000000000000e-01
5.561792633562542276e-01,1.964497601710622487e-01,5.000000000000000000e-01
5.560121263543784664e-01,1.968895984921171793e-01,5.000000000000000000e-01
5.558457571509549666e-01,1.973272608787424443e-01,5.000000000000000000e-01
5.556802398632461060e-01,1.977627022905602550e-01,5.000000000000000000e-01
5.555156197530073392e-01,1.981959869293565824e-01,5.000000000000000000e-01
5.553517987799612143e-01,1.986272038803954809e-01,5.000000000000000000e-01
5.551887147240230913e-01,1.990563272401469630e-01,5.000000000000000000e-01
5.550264653052641162e-01,1.994832595580726675e-01,5.000000000000000000e-01
5.548651053044648673e-01,1.999079842148935027e-01,5.000000000000000000e-01
5.547046342631729576e-01,2.003305325818630633e-01,5.000000000000000000e-01
5.545449955414691878e-01,2.007509314591892913e-01,5.000000000000000000e-01
5.543862706532312057e-01,2.011691554905350177e-01,5.000000000000000000e-01
5.542284720040753232e-01,2.015852538075156297e-01,5.000000000000000000e-01
5.540714946052348600e-01,2.019993041774878484e-01,5.000000000000000000e-01
5.539154213481785050e-01,2.024112841722530698e-01,5.000000000000000000e-01
5.537602539251091915e-01,2.028212474398970455e-01,5.000000000000000000e-01
5.536058877770717590e-01,2.032292762612604164e-01,5.000000000000000000e-01
5.534524492943685425e-01,2.036353405277974427e-01,5.000000000000000000e-01
5.532999137735543638e-01,2.040395331245302701e-01,5.000000000000000000e-01
5.531479975079692801e-01,2.044420050088143204e-01,5.000000000000000000e-01
5.529968077568974127e-01,2.048426164777814584e-01,5.000000000000000000e-01
5.528466466891424069e-01,2.052412147944634446e-01,5.000000000000000000e-01
5.526974142171570126e-01,2.056379488789242815e-01,5.000000000000000000e-01
5.525487992156392636e-01,2.060329933650522638e-01,5.000000000000000000e-01
5.524008230797048391e-01,2.064262310895348396e-01,5.000000000000000000e-01
5.522538060130702808e-01,2.068174213410412521e-01,5.000000000000000000e-01
5.521078340861853562e-01,2.072065597888580468e-01,5.000000000000000000e-01
5.519627784027539841e-01,2.075937763703951111e-01,5.000000000000000000e-01
5.518185626176056457e-01,2.079791240642422934e-01,5.000000000000000000e-01
5.516752154348072423e-01,2.083625751231369949e-01,5.000000000000000000e-01
5.515327475260778378e-01,2.087441148353736953e-01,5.000000000000000000e-01
5.513910669673334208e-01,2.091237737828336440e-01,5.000000000000000000e-01
5.512501964084686179e-01,2.095014831663273569e-01,5.000000000000000000e-01
5.511102626907752322e-01,2.098771215481438357e-01,5.000000000000000000e-01
5.509713527889992246e-01,2.102506259477937844e-01,5.000000000000000000e-01
5.508335218681547074e-01,2.106219791252303408e-01,5.000000000000000000e-01
5.506967915787590595e-01,2.109912009976314673e-01,5.000000000000000000e-01
5.505611107163548290e-01,2.113583598781007822e-01,5.000000000000000000e-01
5.504262129117927227e-01,2.117236174479103505e-01,5.000000000000000000e-01
5.502920289416959321e-01,2.120869413847126517e-01,5.000000000000000000e-01
5.501589734275633692e-01,2.124480036641594460e-01,5.000000000000000000e-01
5.500270978422305834e-01,2.128067924778677955e-01,5.000000000000000000e-01
5.498962047366963146e-01,2.131634518262150724e-01,5.000000000000000000e-01
5.497662965266634227e-01,2.135179543793257750e-01,5.000000000000000000e-01
5.496375797371417793e-01,2.138701555814508659e-01,5.000000000000000000e-01
5.495100607924163771e-01,2.142200781510213425e-01,5.000000000000000000e-01
5.493835236940293187e-01,2.145678789877978887e-01,5.000000000000000000e-01
5.492581905872987447e-01,2.149134029162028392e-01,5.000000000000000000e-01
5.491338714470341831e-01,2.152567877745454328e-01,5.000000000000000000e-01
5.490103142500848410e-01,2.155981647462120732e-01,5.000000000000000000e-01
5.488878857040182524e-01,2.159372225870575812e-01,5.000000000000000000e-01
5.487666902657100110e-01,2.162738901376692890e-01,5.000000000000000000e-01
5.486468116390573746e-01,2.166081347447435801e-01,5.000000000000000000e-01
5.485284077190901719e-01,2.169398993816397114e-01,5.000000000000000000e-01
5.484115964267519683e-01,2.172691939815000750e-01,5.000000000000000000e-01
5.482960708915135539e-01,2.175963250891008172e-01,5.000000000000000000e-01
5.481812037865982923e-01,2.179217441439936787e-01,5.000000000000000000e-01
5.480670230376427643e-01,2.182453564739127994e-01,5.000000000000000000e-01
5.479540329448980840e-01,2.185667607586855576e-01,5.000000000000000000e-01
5.478422668443057031e-01,2.188859509721160224e-01,5.000000000000000000e-01
